,category,item,quantity,price,shopping_mall,city,province_state,country,gender,age,days_since_last_purchase,tenure,discount_used,purchase_frequency,avg_purchase_value,recency,purchase_per_tenure,discount_ratio
9254,0.3468479314013035,1.595587559753225,-0.4373157419554241,-0.75723218204462,0.6026728194951926,0.16349363677753473,-1.1711046109709213,0.5122749666163829,-1.232014073763926,0.8299447007604475,1.3164340855385994,0.8214068336780321,-1.0118704488730614,-1.5309134071371884,0.3046461749504865,-0.2216352994537719,-1.0030575482486328,-0.6236283535923592
1561,-0.4923679684324819,-0.4345327518363882,-0.4373157419554241,-0.12559416701878712,-1.2369000625832876,-1.2397045503875062,0.11298852213980672,0.5122749666163829,1.2275867922051815,-1.6783154665964783,1.2343660378580974,-0.5536778464559465,-1.0118704488730614,-0.9137948600955434,-0.48726931283505664,0.1353444232119422,-0.569815355076168,-0.6236283535923592
1670,1.1860638312350889,1.30557037238328,-0.4373157419554241,0.4631169926169407,0.6026728194951926,0.16349363677753473,-1.1711046109709213,0.5122749666163829,-0.0022136407793722167,0.379744157901512,-0.24476737963932277,0.4776356636445375,-1.0118704488730614,-0.9137948600955434,-1.2008496043461214,1.1024006031317604,-0.7584853424254672,-0.6236283535923592
6087,-1.3315838682662673,-1.594601501316167,-1.3290688862364683,-0.8753832411659568,-0.3171136215440475,-1.6606640065370184,-0.47069017472870606,0.5122749666163829,-1.232014073763926,-0.6492856543474832,-0.8249693911479882,-1.5849913565564304,0.9882688056694595,0.18330477908960327,1.5229129012406732,-0.7183848606235222,1.8619311485370218,1.3765714150721344
6669,0.3468479314013035,0.7255359976433906,-0.4373157419554241,-1.0221522038806974,0.6026728194951926,0.16349363677753473,-1.1711046109709213,0.5122749666163829,-0.0022136407793722167,-0.5849712910819209,0.5778216564140812,1.165178003711527,0.9882688056694595,-1.4623446796881168,1.1394494807680247,0.6717583980112163,-0.989081993630166,2.3936701642938814
5933,-1.3315838682662673,-1.0145671265762775,1.3461905466066646,-0.9391602834598274,0.430212861800335,-0.11714600065547343,1.3970816552505347,0.5122749666163829,-1.232014073763926,-0.906543107409732,-0.48524584493567746,-1.2412201865229358,0.9882688056694595,-1.4623446796881168,-1.0419330412946703,0.6434266739901279,-0.7934242289716337,1.7198400222356782
8829,1.1860638312350889,0.14550162290350124,-0.4373157419554241,1.8347322291293477,0.430212861800335,-0.11714600065547343,1.3970816552505347,0.5122749666163829,1.2275867922051815,-0.5206569278163587,0.21328683997278153,-1.5849913565564304,-1.0118704488730614,1.6232480555201083,-0.5598486971968943,1.5538194058677692,4.063081000945512,-0.6236283535923592
7945,-1.3315838682662673,-1.0145671265762775,1.3461905466066646,-0.5589509928617532,-1.2369000625832876,-1.2397045503875062,0.11298852213980672,0.5122749666163829,-1.232014073763926,0.6370016109637608,0.3373431911177265,-0.5536778464559465,-1.0118704488730614,-0.29667631305389836,0.8205634622420785,0.12401173360350683,-0.19247538037756945,-0.6236283535923592
3508,1.1860638312350889,0.14550162290350124,0.4544374023256202,0.9189593141404382,-0.259626968979095,0.44413327421054294,0.46319574026091437,0.5122749666163829,1.2275867922051815,1.3444596068849448,-1.1265217523926236,1.5089491737450216,0.9882688056694595,0.3890109614368183,0.7903103532866124,0.8436375237391527,-0.48215051246942275,-0.23305029095435292
2002,1.1860638312350889,0.14550162290350124,-0.4373157419554241,-0.8602566349808722,-0.374600274109,0.09333372741928271,-1.0543688715972188,0.5122749666163829,-0.0022136407793722167,-1.4210580135342297,0.34306886886287774,-1.2412201865229358,0.9882688056694595,-1.1195010424427583,0.5632365540501092,0.14856589442178347,-0.4440353635099684,1.3094140725670653
